x,y
288,973
396,1340
227,827
331,1085
180,702
379,1263
172,635
249,860
270,913
265,883
294,971
155,574
226,849
210,740
220,753
240,821
236,843
256,896
273,914
177,633
201,744
248,878
226,784
200,746
219,747
257,878
205,721
254,867
359,1275
252,907
248,868
180,674
314,1071
182,702
190,664
155,618
180,663
88,412
300,1030
241,837
140,528
293,972
283,994
226,780
243,879
239,871
233,807
262,948
317,1061
330,1048
246,889
282,929
242,876
269,900
276,984
288,1002
294,1039
270,876
205,721
339,1117
316,1046
274,961
269,913
340,1162
278,916
227,812
210,795
261,925
166,637
376,1232
238,860
228,841
275,941
282,988
301,1006
339,1160
314,1067
224,795
281,947
191,692
329,1130
248,855
228,807
339,1190
186,688
241,836
320,1109
212,795
185,750
302,1045
273,964
254,926
150,548
327,1100
338,1129
280,979
278,940
281,945
423,1354
244,868
233,817
376,1243
277,945
315,1092
292,991
370,1205
217,729
167,620
269,913
372,1298
261,934
282,883
285,1030
293,1009
349,1198
438,1433
209,709
161,592
307,1042
238,843
304,1067
242,867
224,837
317,1148
336,1127
354,1209
229,810
242,824
324,1156
223,821
160,563
335,1072
240,783
206,733
365,1223
284,946
169,614
239,847
305,1051
344,1147
256,878
165,602
339,1169
177,691
280,1003
237,883
350,1246
356,1211
228,821
249,881
262,893
248,828
296,1049
292,1014
368,1263
326,1114
206,740
309,998
259,878
248,861
310,993
225,760
243,812
421,1340
255,900
175,617
392,1318
267,949
350,1179
194,736
323,1076
342,1142
169,654
162,651
261,891
333,1164
371,1253
345,1166
