x,y
61,333
52,307
66,318
51,316
102,391
66,354
51,287
72,396
71,377
45,288
47,277
67,356
64,351
65,334
63,359
61,321
55,281
88,385
79,379
48,291
51,259
76,308
94,425
67,332
73,316
37,254
76,327
61,337
39,330
82,334
77,371
78,355
87,420
35,215
65,318
70,339
91,408
62,335
42,272
69,313
71,351
59,341
68,345
76,395
62,355
54,298
69,356
53,315
52,315
82,424
67,337
69,330
89,382
77,313
53,305
49,285
76,365
77,329
65,331
73,353
68,356
60,336
79,353
31,244
87,393
37,248
62,329
105,455
102,439
71,333
94,441
73,353
74,397
67,350
70,354
78,376
80,407
79,375
70,315
64,343
53,288
85,410
67,374
54,275
78,382
69,306
64,355
66,392
67,334
68,377
81,375
76,362
58,285
84,420
54,289
99,460
61,372
72,399
78,380
54,287
58,329
62,250
65,289
51,285
60,309
53,325
70,349
80,359
87,382
65,365
74,337
49,323
108,515
69,320
29,239
77,402
54,317
69,326
58,284
58,304
78,400
